intent,category,question,answer
legitimacy_scam_concern,General,"Habari, Do you have reviews from other customers nisaidie?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
restock_notification,Products,"Sasa, Please notify me when available again asante?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
gift_wrapping,Products,"Habari, Naomba m-wrap kama gift asante?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
minimum_order,Orders,"Hey, Naeza order kitu kimoja tu?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
minimum_order,Orders,"Excuse me, Is there a minimum order amount please?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
damaged_in_transit,Returns,"Msee, It arrived broken, what do I do je?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
product_availability,Products,Do you have this in stock je?,Let us check current stock for you — please share the product name or picture and the size/color you want.
complaint_escalation,General,"Hello, I want to file a complaint?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
wholesale_reseller,Products,"Msee, Can I become a stockist for your products?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
gift_wrapping,Products,"Samahani, Do you offer gift packaging?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
product_availability,Products,"Msee, Do you have this in stock tafadhali?",Let us check current stock for you — please share the product name or picture and the size/color you want.
complaint_escalation,General,"Quick question, Nataka kulalamika kuhusu huduma asante?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
legitimacy_scam_concern,General,"Hello, How do I know this isn't a scam?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
complaint_escalation,General,Naomba kuongea na manager kuhusu tatizo,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
mpesa_payment,Payment,"Naomba kuuliza, Can I pay on delivery nisaidie?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
return_policy,Returns,Do you accept returns?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
delivery_time,Delivery,"Boss, Is delivery same day?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
product_availability,Products,"Quick question, Is the red one still available tafadhali?",Let us check current stock for you — please share the product name or picture and the size/color you want.
restock_notification,Products,"Excuse me, Mkipata stock nijulishe tafadhali nisaidie?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
damaged_in_transit,Returns,"Hi, The package was damaged during delivery?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
mpesa_payment,Payment,"Hello, Naomba number ya kutuma pesa naomba msaada?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
price_negotiation,Products,"Sasa, Punguza kidogo bei basi?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
order_status,Orders,Umetuma order yangu?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
product_care_instructions,Products,"Msee, Naosha hii item aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
return_policy,Returns,"Hi, Return policy yenu ni gani nisaidie?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
legitimacy_scam_concern,General,"Msee, Are you a genuine seller please?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
greeting,General,"Sasa, Habari naomba msaada?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
installment_payment,Payments,"Quick question, Naomba nilipe kidogo kidogo tafadhali?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
wholesale_reseller,Products,"Hello, I want to buy in bulk to resell?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
wholesale_reseller,Products,"Hey, Mnauza kwa bei ya jumla?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
wrong_item,Returns,"Quick question, Nilikuwa nimeorder kitu kingine naomba kujua?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
minimum_order,Orders,"Msee, Can I order just one item naomba kujua?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
minimum_order,Orders,"Excuse me, Do I have to buy a certain quantity je?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
goodbye,General,"Poa, Alright, later naomba msaada?",You're welcome! Karibu tena — feel free to message us anytime. 😊
wrong_item,Returns,Nilikuwa nimeorder kitu kingine,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
contact_human,General,"Boss, Naeza ongea na mtu sasa?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
price_negotiation,Products,Can you reduce the price a bit?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
gift_wrapping,Products,Naomba m-wrap kama gift nisaidie?,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
order_status,Orders,"Hey, Is my parcel on the way?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
combine_orders,Orders,"Boss, Can you merge my orders to save on delivery please?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
goodbye,General,"Sawa, asante sana",You're welcome! Karibu tena — feel free to message us anytime. 😊
location_directions,General,Mko karibu na wapi nisaidie?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
delivery_time,Delivery,"Sasa, How long does delivery take?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
price_negotiation,Products,Is that your final price?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
return_policy,Returns,"Boss, Do you accept returns please?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
social_media_catalog,General,"Msee, Send me your product catalog tafadhali?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
installment_payment,Payments,"Quick question, Is there a payment plan?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
international_shipping,Delivery,"Excuse me, Can you deliver to Uganda sasa?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
combine_orders,Orders,Naeza unganisha order mbili ziende pamoja asante?,"Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
delivery_time,Delivery,How long does delivery take nisaidie?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
payment_confirmation,Payment,Can you confirm you received my Mpesa?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
restock_notification,Products,Can you tell me when it's restocked?,We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
product_care_instructions,Products,"Hi, Can it be machine washed?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
installment_payment,Payments,"Msee, Naeza lipa nusu leo na nusu next week?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
goodbye,General,"Samahani, Thanks, bye please?",You're welcome! Karibu tena — feel free to message us anytime. 😊
contact_human,General,"Hello, This bot isn't helping, I need an agent basi?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
courier_tracking_number,Delivery,How do I track my parcel with the courier sasa?,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
product_availability,Products,"Msee, Do you have more colors?",Let us check current stock for you — please share the product name or picture and the size/color you want.
combine_orders,Orders,"Poa, Can you merge my orders to save on delivery please?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
legitimacy_scam_concern,General,Ni kweli hii ni duka halisi sasa?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
delivery_time,Delivery,"Naomba kuuliza, How many days for delivery to Kisumu?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
greeting,General,"Habari, Habari asante?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
damaged_in_transit,Returns,"Samahani, It arrived broken, what do I do please?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
installment_payment,Payments,"Hey, Can I pay in installments je?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
installment_payment,Payments,"Karibu, mimi ni customer, Naeza lipa pole pole naomba kujua?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
delivery_time,Delivery,"Hi, How many days for delivery to Kisumu asante?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
complaint_escalation,General,I'm not happy with how this was handled?,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
gift_wrapping,Products,"This is a birthday gift, can you pack it nicely sasa?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
return_policy,Returns,How many days do I have to return something?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
order_status,Orders,Order yangu iko wapi tafadhali?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
gift_wrapping,Products,"Quick question, Is gift wrapping available?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
cancel_order,Orders,"Hello, I want to cancel my order naomba msaada?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
price_negotiation,Products,Bei ya mwisho ni ngapi?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
discount_bulk,Promotions,"Quick question, Any offers this week please?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
opening_hours,General,Mnafungua saa ngapi?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
product_care_instructions,Products,"Quick question, Do I need to hand wash this?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
international_shipping,Delivery,"Niaje, Do you ship outside Kenya please?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
courier_tracking_number,Delivery,"Quick question, Naomba tracking number ya order yangu tafadhali?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
minimum_order,Orders,"Boss, Do I have to buy a certain quantity basi?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
wrong_item,Returns,The size is wrong,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
refund_status,Returns,"Naomba kuuliza, When will I get my refund?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
complaint_escalation,General,"Karibu, mimi ni customer, How do I raise a complaint asante?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
cancel_order,Orders,"Karibu, mimi ni customer, Nimebadili mawazo, cancel order tafadhali?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
location_directions,General,"Quick question, Naeza kuja duka moja kwa moja nisaidie?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
receipt_request,Payments,"Boss, Can I get a receipt for my purchase please?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
payment_confirmation,Payment,"Niaje, Can you confirm you received my Mpesa?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
cancel_order,Orders,"Sitaki tena hii order, cancel","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
mpesa_payment,Payment,"Hello, Send me the paybill number asante?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
minimum_order,Orders,"Samahani, Kuna minimum order asante?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
delivery_time,Delivery,"Msee, Is delivery same day please?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
delivery_cost,Delivery,Unatoza delivery ngapi kwa CBD?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
payment_confirmation,Payment,Can you confirm you received my Mpesa asante?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
complaint_escalation,General,This service was very poor naomba kujua?,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
opening_hours,General,"Hello, Time za kazi ni gani tafadhali?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
gift_wrapping,Products,"Hello, Is gift wrapping available sasa?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
restock_notification,Products,Mkipata stock nijulishe tafadhali,We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
complaint_escalation,General,"Samahani, Nataka kulalamika kuhusu huduma asante?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
location_directions,General,Naomba pin ya location yenu,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
product_care_instructions,Products,"Karibu, mimi ni customer, Naosha hii item aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
wrong_item,Returns,"Naomba kuuliza, The product doesn't match the photo please?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
wholesale_reseller,Products,Mnauza kwa bei ya jumla?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
wrong_item,Returns,This is not what I ordered,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
courier_tracking_number,Delivery,"Karibu, mimi ni customer, Is there a tracking code for my delivery nisaidie?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
location_directions,General,"Karibu, mimi ni customer, Can I visit the physical shop asante?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
greeting,General,"Hey, Hello, is anyone there please?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
greeting,General,"Hi, Hey there naomba msaada?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
opening_hours,General,"Poa, What are your working hours naomba msaada?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
wholesale_reseller,Products,"Sasa, Nataka kununua mengi kwa bei nafuu niuze sasa?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
wholesale_reseller,Products,I want to buy in bulk to resell,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
minimum_order,Orders,"Quick question, Can I order just one item?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
combine_orders,Orders,"Karibu, mimi ni customer, Naeza unganisha order mbili ziende pamoja naomba msaada?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
contact_human,General,"Samahani, Nipe number ya kuongea na mtu basi?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
installment_payment,Payments,"Habari, Can I pay in installments?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
contact_human,General,"Poa, Naomba msaada wa mtu, sio bot naomba kujua?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
receipt_request,Payments,"Habari, Can you email me a receipt?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
gift_wrapping,Products,Is gift wrapping available?,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
installment_payment,Payments,"Excuse me, Naeza lipa nusu leo na nusu next week?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
receipt_request,Payments,"Quick question, Do you issue invoices?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
goodbye,General,"Thanks, bye basi?",You're welcome! Karibu tena — feel free to message us anytime. 😊
product_availability,Products,Kuna stock ya hii item?,Let us check current stock for you — please share the product name or picture and the size/color you want.
discount_bulk,Promotions,"Msee, Do you do wholesale prices?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
location_directions,General,Do you have a physical store or online only?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
order_status,Orders,"Sasa, Order yangu iko wapi basi?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
greeting,General,Good morning,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
mpesa_payment,Payment,"Habari, Send me the paybill number sasa?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
restock_notification,Products,"Hey, Can you tell me when it's restocked?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
delivery_time,Delivery,When will my parcel arrive?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
order_status,Orders,Order yangu ipo stage gani sasa?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
receipt_request,Payments,"Hi, Naomba receipt ya order yangu tafadhali?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
legitimacy_scam_concern,General,Is this shop legit tafadhali?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
mpesa_payment,Payment,Send me the paybill number,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
opening_hours,General,Mko open saa ngapi mpaka saa ngapi nisaidie?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
greeting,General,Hi,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
social_media_catalog,General,Mko na Instagram au TikTok?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
goodbye,General,"Naomba kuuliza, Asante, kwaheri basi?",You're welcome! Karibu tena — feel free to message us anytime. 😊
gift_wrapping,Products,Naomba m-wrap kama gift,Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
complaint_escalation,General,"Quick question, I'm not happy with how this was handled asante?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
delivery_time,Delivery,Order itafika lini kwa Rongai?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
legitimacy_scam_concern,General,"Boss, Mko registered kihalali asante?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
courier_tracking_number,Delivery,"Habari, Naomba tracking number ya order yangu?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
goodbye,General,"Asante, kwaheri",You're welcome! Karibu tena — feel free to message us anytime. 😊
location_directions,General,"Excuse me, Do you have a physical store or online only naomba kujua?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
goodbye,General,"Habari, That's all, goodbye nisaidie?",You're welcome! Karibu tena — feel free to message us anytime. 😊
combine_orders,Orders,Can you merge my orders to save on delivery?,"Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
wholesale_reseller,Products,"Karibu, mimi ni customer, Do you sell wholesale naomba kujua?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
product_care_instructions,Products,"Quick question, How do I take care of this item asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
minimum_order,Orders,"Msee, Kuna minimum order?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
payment_confirmation,Payment,"Hey, Payment yangu imeenda sawa?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
combine_orders,Orders,Naeza unganisha order mbili ziende pamoja?,"Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
wholesale_reseller,Products,"Quick question, Naeza pata bei ya wholesale sasa?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
combine_orders,Orders,Naeza unganisha order mbili ziende pamoja nisaidie?,"Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
mpesa_payment,Payment,Paybill na account number ni gani?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
payment_confirmation,Payment,"Nimesend pesa saa hii, angalia",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
refund_status,Returns,"Niaje, Refund yangu itafika lini tafadhali?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
social_media_catalog,General,"Naomba kuuliza, Do you have a Facebook page?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
damaged_in_transit,Returns,The package was damaged during delivery,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
payment_confirmation,Payment,Payment yangu imeenda sawa?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
discount_bulk,Promotions,Bei inashuka nikichukua zaidi ya moja asante?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
contact_human,General,Can I talk to a real person je?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
damaged_in_transit,Returns,"Samahani, My item arrived broken?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
installment_payment,Payments,"Niaje, Is there a payment plan tafadhali?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
restock_notification,Products,"Poa, Mtapata stock tena lini tafadhali?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
contact_human,General,"Poa, Can I talk to a real person?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
complaint_escalation,General,"Hi, This service was very poor tafadhali?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
damaged_in_transit,Returns,"Boss, Bidhaa imekuja ikiwa mbovu?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
cancel_order,Orders,"Naomba kuuliza, Nataka cancel order yangu asante?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
refund_status,Returns,Where is my refund money?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
gift_wrapping,Products,"Naomba kuuliza, Do you offer gift packaging naomba kujua?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
installment_payment,Payments,Can I pay in installments basi?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
wholesale_reseller,Products,"Niaje, Do you supply shops or only individuals?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
location_directions,General,Can I visit the physical shop?,"We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
cancel_order,Orders,"Poa, Can I cancel this order?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
international_shipping,Delivery,"Hey, Mnatuma nje ya Kenya?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
price_negotiation,Products,Punguza kidogo bei,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
product_availability,Products,"Hi, Hii bidhaa bado inapatikana?",Let us check current stock for you — please share the product name or picture and the size/color you want.
order_status,Orders,"Poa, Is my parcel on the way sasa?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
return_policy,Returns,"Niaje, What is your return policy asante?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
payment_confirmation,Payment,"Niaje, Umeconfirm payment yangu?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
mpesa_payment,Payment,How do I send payment for my order naomba msaada?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
wrong_item,Returns,"Poa, Wrong color sent?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
international_shipping,Delivery,"Boss, Mnatuma nje ya Kenya?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
restock_notification,Products,"Poa, When will this be back in stock sasa?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
price_negotiation,Products,"Hi, Punguza kidogo bei sasa?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
price_negotiation,Products,"Boss, Can we negotiate the price je?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
combine_orders,Orders,"Msee, I made two separate orders, can they be delivered together asante?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
wholesale_reseller,Products,"Samahani, Do you sell wholesale?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
courier_tracking_number,Delivery,"Poa, Is there a tracking code for my delivery?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
greeting,General,Hello?,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
international_shipping,Delivery,"Karibu, mimi ni customer, Do you ship outside Kenya asante?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
international_shipping,Delivery,"Sasa, Do you ship outside Kenya nisaidie?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
order_status,Orders,Umetuma order yangu tafadhali?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
product_care_instructions,Products,Do I need to hand wash this?,Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
wholesale_reseller,Products,"Hi, Naeza pata bei ya wholesale naomba msaada?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
goodbye,General,"Quick question, Bye tafadhali?",You're welcome! Karibu tena — feel free to message us anytime. 😊
opening_hours,General,Time za kazi ni gani nisaidie?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
return_policy,Returns,Can I return an item if I don't like it je?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
